rank,city,state,population2012,population2010,land_area,density,ansi,lat,lon
91,Irvine,California,229985,212375,66.106,3213,2410116,33.6784,117.7713
92,Chesapeake,Virginia,228417,222209,340.800,652,1498558,36.6794,76.3018
93,Irving,Texas,225427,216290,67.017,3227,2410117,32.8577,96.97
94,Scottsdale,Arizona,223514,217385,183.920,1182,2411845,33.6687,111.8237
95,North Las Vegas,Nevada,223491,216961,101.345,2141,2411273,36.283,115.0893
96,Fremont,California,221986,214089,77.459,2764,2410545,37.4944,121.9411
97,Gilbert,Arizona,221140,208453,67.963,3067,2412682,33.3102,111.7422
98,San Bernardino,California,213295,209924,59.201,3546,2411777,34.1393,117.2953
99,Boise,Idaho,212303,205671,79.364,2592,2409876,43.5985,116.2311
100,Birmingham,Alabama,212038,212237,146.067,1453,2403868,33.5274,86.799
101,Rochester,New York,210532,210565,35.781,5885,979426,43.1699,77.6169
102,Richmond,Virginia,210309,204214,59.805,3415,1789073,37.5314,77.476
103,Spokane,Washington,209525,208916,59.247,3526,2411956,47.6736,117.4166
104,Des Moines,Iowa,206688,203433,80.869,2516,2394522,41.5739,93.6167
105,Montgomery,Alabama,205293,205764,159.565,1290,2404289,32.3463,86.2686
106,Modesto,California,203547,201165,36.867,5456,2411130,37.6609,120.9891
107,Fayetteville,North Carolina,202103,200564,145.845,1375,2403604,35.0851,78.9803
108,Tacoma,Washington,202010,198397,49.721,3990,2412025,47.2522,122.4598
109,Shreveport,Louisiana,201867,199311,105.375,1891,2405463,32.467,93.7927
110,Fontana,California,201812,196069,42.432,4621,2410517,34.1088,117.4627
111,Oxnard,California,201555,197899,26.894,7358,2411347,34.2023,119.2046
112,Aurora,Illinois,199932,197899,44.936,4404,2394031,41.7635,88.2901
113,Moreno Valley,California,199552,193365,51.275,3771,2411159,33.9233,117.2057
114,Akron,Ohio,198549,199110,62.033,3210,1086993,41.0805,81.5214
115,Yonkers,New York,198449,195976,18.012,10880,979660,40.9459,73.8674
116,Columbus,Georgia,198413,189885,216.385,878,2404111,32.5102,84.8749
117,Augusta,Georgia,197872,195844,302.474,647,2405078,33.3655,82.0734
118,Little Rock,Arkansas,196537,193524,119.200,1624,2404939,34.7254,92.3586
119,Amarillo,Texas,195250,190695,99.476,1917,2409694,35.1978,101.8287
120,Mobile,Alabama,194822,195111,139.109,1403,2404278,30.6684,88.1002
121,Huntington Beach,California,194708,189992,26.748,7103,2410811,33.6906,118.0093
122,Glendale,California,194478,191719,30.453,6295,2410597,34.1814,118.2458
123,Grand Rapids,Michigan,190411,188040,44.395,4236,1626373,42.9612,85.6556
124,Salt Lake City,Utah,189314,186440,111.110,1678,2411771,40.7785,111.9314
125,Tallahassee,Florida,186971,181376,100.247,1809,2405563,30.4551,84.2534
126,Huntsville,Alabama,183739,180105,209.054,862,2404746,34.7843,86.539
127,Worcester,Massachusetts,182669,181045,37.371,4845,619493,42.2695,71.8078
128,Knoxville,Tennessee,182200,178874,98.521,1816,2404842,35.9709,83.9465
129,Grand Prairie,Texas,181824,175396,72.105,2433,2410632,32.6842,97.021
130,Newport News,Virginia,180726,180719,68.714,2630,1498555,37.076,76.5217
131,Brownsville,Texas,180097,175023,132.330,1323,2409924,26.0183,97.4538
132,Santa Clarita,California,179013,176320,52.716,3345,2411819,34.4049,118.5047
133,Overland Park,Kansas,178919,173372,74.841,2317,485639,38.889,94.6906
134,Providence,Rhode Island,178432,178042,18.400,9676,1220076,41.8231,71.4188
135,Jackson,Mississippi,175437,173514,111.046,1563,2404779,32.3158,90.2128
136,Garden Grove,California,174389,170883,17.941,9525,2410568,33.7788,117.9605
137,Oceanside,California,171293,167086,41.235,4052,2411301,33.2246,117.3062
